link,image,author,title,annotation
https://www.biblio-globus.ru/product/10851616,https://static1.bgshop.ru/imagehandler.ashx?filename=10851616.jpg&width=550,Булгаков М.А.,Мастер и Маргарита (Замена картинки),"Бессмертное, загадочное и остроумное «Евангелие от Сатаны» Михаила Булгакова. Роман, уникальный в российской литературе ХХ столетия. Трудно себе представить, какое влияние он оказал на мировую культуру. На основе «Мастера и Маргариты» снимались и продолжают сниматься фильмы и телесериалы, это произведение легло в основу оперы, симфонии, рок-оперы, его иллюстрировали самые знаменитые художники и фотографы. Достаточно перечислить лишь немногих создателей произведений, посвященных шедевру Булгакова и им вдохновленных: Анджей Вайда, Эннио Морриконе, Мик Джаггер, Дэвид Боуи. Чем же заворожила столь разных творческих личностей история о дьяволе и его свите, почтивших своим присутствием Москву 1930-х, о прокураторе Иудеи всаднике Понтии Пилате и нищем философе Иешуа Га-Ноцри, о талантливом и несчастном Мастере и его прекрасной и верной возлюбленной Маргарите?.. Бессмертное, загадочное и остроумное «Евангелие от Сатаны» Михаила Булгакова. Роман, уникальный в российской литературе ХХ столетия. Трудно себе представить, какое влияние он оказал на мировую культуру. На основе «Мастера и Маргариты» снимались и продолжают сниматься фильмы и телесериалы, это произведение легло в основу оперы, симфонии, рок-оперы, его иллюстрировали самые знаменитые художники и фотографы. Достаточно перечислить лишь немногих создателей произведений, посвященных шедевру Булгакова и им вдохновленных: Анджей Вайда, Эннио Морриконе, Мик Джаггер, Дэвид Боуи. Чем же заворожила столь разных творческих личностей история о дьяволе и его свите, почтивших своим присутствием Москву 1930-х, о прокураторе Иудеи всаднике Понтии Пилате и нищем философе Иешуа Га-Ноцри, о талантливом и несчастном Мастере и его прекрасной и верной возлюбленной Маргарите?.. Характеристики Место издания: Москва Серия: Эксклюзив: Русская классика Высота, см.: 18,1 Ширина, см: 11,5 Толщина, см: 2,2 Вес в граммах: 253 Возрастная категория: 12+"
https://www.biblio-globus.ru/product/10852230,https://static1.bgshop.ru/imagehandler.ashx?filename=10852230.jpg&width=550,Оруэлл Д.,1984 (новый перевод),"Своеобразный антипод второй великой антиутопии XX века - ""О дивный новый мир"" Олдоса Хаксли. Что, в сущности, страшнее: доведенное до абсурда ""общество потребления"" - или доведенное до абсолюта ""общество идеи""? По Оруэллу, нет и не может быть ничего ужаснее тотальной несвободы... Своеобразный антипод второй великой антиутопии XX века - ""О дивный новый мир"" Олдоса Хаксли. Что, в сущности, страшнее: доведенное до абсурда ""общество потребления"" - или доведенное до абсолюта ""общество идеи""? По Оруэллу, нет и не может быть ничего ужаснее тотальной несвободы... Характеристики Место издания: Москва Серия: Эксклюзивная классика Высота, см.: 18,2 Ширина, см: 11,7 Толщина, см: 1,9 Вес в граммах: 193 Возрастная категория: 16+"
https://www.biblio-globus.ru/product/10857198,https://static1.bgshop.ru/imagehandler.ashx?filename=10857198.jpg&width=550,Моэм С.,Луна и шесть пенсов (новый перевод),"Потрясающая история художника, бросившего все ради своей мечты. Его страсть — свобода. Его жизнь — творчество. Его рай — экзотический остров Полинезии. А его прошлое-лишь эскиз к самой величайшей его работе, в которой слилось возвышенное и земное, ""луна"" и ""шесть пенсов"". Потрясающая история художника, бросившего все ради своей мечты. Его страсть — свобода. Его жизнь — творчество. Его рай — экзотический остров Полинезии. А его прошлое-лишь эскиз к самой величайшей его работе, в которой слилось возвышенное и земное, ""луна"" и ""шесть пенсов"". Характеристики Место издания: Москва Серия: Эксклюзивная классика Высота, см.: 18 Ширина, см: 11,6 Толщина, см: 1,55 Вес в граммах: 193 Возрастная категория: 12+"
https://www.biblio-globus.ru/product/10914195,https://static1.bgshop.ru/imagehandler.ashx?filename=10914195.jpg&width=550,Хаксли О.,О дивный новый мир (замена картинки),"«О дивный новый мир» — изысканная и остроумная антиутопия о генетически программируемом «обществе потребления», в котором разворачивается трагическая история Дикаря — «Гамлета» этого мира. «О дивный новый мир» — изысканная и остроумная антиутопия о генетически программируемом «обществе потребления», в котором разворачивается трагическая история Дикаря — «Гамлета» этого мира. Характеристики Место издания: Москва Серия: Эксклюзивная классика Высота, см.: 18 Ширина, см: 11,7 Толщина, см: 1,88 Вес в граммах: 240 Возрастная категория: 16+"
https://www.biblio-globus.ru/product/10979497,https://static1.bgshop.ru/imagehandler.ashx?filename=10979497.jpg&width=550,Пушкин А.С.,Евгений Онегин,"Классика и одно из самых значительных произведений русской литературы — роман в стихах А.С. Пушкина «Евгений Онегин» (1823–1831). История, покорившая мир, сопровождающая многие поколения читателей и пережившая бесчисленное количество интерпретаций и экранизаций, одной из которых стал фильм Сарика Андреасяна «Онегин». Роман охватывает события с 1819 по 1825 год: от заграничных походов русской армии после разгрома Наполеона до восстания декабристов, и через все повествование тянется красная нить истории великой любви. Классика и одно из самых значительных произведений русской литературы — роман в стихах А.С. Пушкина «Евгений Онегин» (1823–1831). История, покорившая мир, сопровождающая многие поколения читателей и пережившая бесчисленное количество интерпретаций и экранизаций, одной из которых стал фильм Сарика Андреасяна «Онегин». Роман охватывает события с 1819 по 1825 год: от заграничных походов русской армии после разгрома Наполеона до восстания декабристов, и через все повествование тянется красная нить истории великой любви. Характеристики Место издания: Москва Серия: Онегин (КИНО) Высота, см.: 20,7 Ширина, см: 13,2 Толщина, см: 1,6 Вес в граммах: 252 Возрастная категория: 6+"
https://www.biblio-globus.ru/product/11004037,https://static1.bgshop.ru/imagehandler.ashx?filename=11004037.jpg&width=550,Каверин В.,Два капитана,"«Два капитана» — самый известный и любимый читателями роман Вениамина Каверина. Это книга-эпоха, прочесть ее — все равно что прожить суровую, полную незабываемых приключений жизнь. Вместе с главным героем Саней Григорьевым читателю предстоит пережить тяжелое беспризорное детство, тяготы войны, открыть тайну исчезновения полярной экспедиции и завоевать сердце любимой девушки. Роман переведен на многие языки мира, был дважды экранизирован, а его героям поставлен памятник в родном городе автора, Пскове. В настоящем издании текст сопровождается классическими иллюстрациями замечательных художников Федора Глебова (1914–1980) и Петра Луганского (1911–1993). «Два капитана» — самый известный и любимый читателями роман Вениамина Каверина. Это книга-эпоха, прочесть ее — все равно что прожить суровую, полную незабываемых приключений жизнь. Вместе с главным героем Саней Григорьевым читателю предстоит пережить тяжелое беспризорное детство, тяготы войны, открыть тайну исчезновения полярной экспедиции и завоевать сердце любимой девушки. Роман переведен на многие языки мира, был дважды экранизирован, а его героям поставлен памятник в родном городе автора, Пскове. В настоящем издании текст сопровождается классическими иллюстрациями замечательных художников Федора Глебова (1914–1980) и Петра Луганского (1911–1993). Характеристики Дополнительные сведения: Худож. Глебов Место издания: Санкт-Петербург Серия: Русская литература. Большие книги Высота, см.: 22 Ширина, см: 15 Толщина, см: 3,4 Вес в граммах: 830 Возрастная категория: 12+"
https://www.biblio-globus.ru/product/11042124,https://static1.bgshop.ru/imagehandler.ashx?filename=11042124.jpg&width=550,,Сон в Нефритовом павильоне,"Роман «Сон в Нефритовом павильоне» — одно из наиболее известных произведений корейской литературы. Предположительно, оно было создано в XVII–XVIII веках и сразу обрело широкую популярность, хотя точное авторство книги до сих пор не установлено. «Сон в Нефритовом павильоне» принято ставить в один ряд с лучшими образцами китайской классической прозы: романами «Троецарствие», «Путешествие на Запад», «Сон в Красном тереме» (с последним его связывает не только похожее название, но и общий жанр — «роман-сон», в котором главные герои переживают невероятные приключения в мире сновидений). Роман отличается богатством сюжетных линий, яркими персонажами и прихотливой фантазией, свойственной лучшим образцам восточной литературы. В настоящем издании «Сон в Нефритовом павильоне» печатается по книге, выходившей в серии «Библиотека восточной литературы» в 1982 году, и сопровождается классическими иллюстрациями китайских художников. Роман «Сон в Нефритовом павильоне» — одно из наиболее известных произведений корейской литературы. Предположительно, оно было создано в XVII–XVIII веках и сразу обрело широкую популярность, хотя точное авторство книги до сих пор не установлено. «Сон в Нефритовом павильоне» принято ставить в один ряд с лучшими образцами китайской классической прозы: романами «Троецарствие», «Путешествие на Запад», «Сон в Красном тереме» (с последним его связывает не только похожее название, но и общий жанр — «роман-сон», в котором главные герои переживают невероятные приключения в мире сновидений). Роман отличается богатством сюжетных линий, яркими персонажами и прихотливой фантазией, свойственной лучшим образцам восточной литературы. В настоящем издании «Сон в Нефритовом павильоне» печатается по книге, выходившей в серии «Библиотека восточной литературы» в 1982 году, и сопровождается классическими иллюстрациями китайских художников. Характеристики Дополнительные сведения: Пер. Рачков; Худож. Ма Юань Место издания: Санкт-Петербург Серия: Иностранная литература. Большие книги Высота, см.: 22 Ширина, см: 15 Толщина, см: 3,7 Вес в граммах: 884 Возрастная категория: 16+"
https://www.biblio-globus.ru/product/11061081,https://static1.bgshop.ru/imagehandler.ashx?filename=11061081.jpg&width=550,Уэда Акинари,Сказки весеннего дождя. Повесть Западных гор,"Самурай высокого ранга Такэбэ Аятари (1719–1774) и приемный сын в купеческой семье Уэда Акинари (1734–1809) при жизни были связаны отношениями учителя и талантливого ученика, порой переходящими в соперничество. И в истории японской литературы их имена стоят в одном ряду как имена зачинателей нового жанра повествовательной художественной прозы — ёмихон. Сборник «Сказки весеннего дождя» Акинари составили новеллы исторического, фантастического и авантюрного характера, а «Повесть Западных гор» Аятари — это история о любви и самурайском долге, основанная на реальных событиях кровавой драмы, разыгравшейся в деревне неподалеку от Киото. Издание украшают рисунки Такэбэ Аятари, который был талантливым художником. Самурай высокого ранга Такэбэ Аятари (1719–1774) и приемный сын в купеческой семье Уэда Акинари (1734–1809) при жизни были связаны отношениями учителя и талантливого ученика, порой переходящими в соперничество. И в истории японской литературы их имена стоят в одном ряду как имена зачинателей нового жанра повествовательной художественной прозы — ёмихон. Сборник «Сказки весеннего дождя» Акинари составили новеллы исторического, фантастического и авантюрного характера, а «Повесть Западных гор» Аятари — это история о любви и самурайском долге, основанная на реальных событиях кровавой драмы, разыгравшейся в деревне неподалеку от Киото. Издание украшают рисунки Такэбэ Аятари, который был талантливым художником. Характеристики Дополнительные сведения: Пер. Мельникова; Худож. Такэбэ Аятари Место издания: Санкт-Петербург Серия: Изящная классика Востока Высота, см.: 19 Ширина, см: 12 Толщина, см: 3,2 Вес в граммах: 350 Возрастная категория: 16+"
https://www.biblio-globus.ru/product/11061100,https://static1.bgshop.ru/imagehandler.ashx?filename=11061100.jpg&width=550,Крапивин В.,Острова и капитаны. Роман в трех книгах,"Долгое время Владислав Петрович Крапивин считался писателем для детей, да некоторые и сейчас так считают. Такое несправедливое мнение сложилось в критике потому, что книги его выходили преимущественно в детских издательствах (или в детских редакциях областных издательств). Действительно, главные герои в его книгах — мальчишки. Но есть ведь большая разница — писать для детей и писать о детях. В первом случае круг читателей сужается до детской аудитории. Во втором — книгу читают все, от возраста независимо. Жюль Верн, «Гекльберри Финн», каверинские «Два капитана» — детская это литература или не детская? Ответ очевиден. Так и Владислав Крапивин — писатель для всех возрастов. Героев романа-трилогии «Острова и капитаны», взрослеющих, превращающихся в мужчин, объединяет цель — поиски пропавшей рукописи о знаменитом капитане Крузенштерне, первом из русских мореплавателей совершившем кругосветное путешествие. Еще их объединяет мечта. Мечта о море и кораблях, которая ведет их по жизни. Помните слова клятвы в «Двух капитанах»: «Бороться и искать, найти и не сдаваться»? Это и о них тоже, о героях книги Крапивина, — мальчишках с открытым сердцем и светлым огнем в глазах. Долгое время Владислав Петрович Крапивин считался писателем для детей, да некоторые и сейчас так считают. Такое несправедливое мнение сложилось в критике потому, что книги его выходили преимущественно в детских издательствах (или в детских редакциях областных издательств). Действительно, главные герои в его книгах — мальчишки. Но есть ведь большая разница — писать для детей и писать о детях. В первом случае круг читателей сужается до детской аудитории. Во втором — книгу читают все, от возраста независимо. Жюль Верн, «Гекльберри Финн», каверинские «Два капитана» — детская это литература или не детская? Ответ очевиден. Так и Владислав Крапивин — писатель для всех возрастов. Героев романа-трилогии «Острова и капитаны», взрослеющих, превращающихся в мужчин, объединяет цель — поиски пропавшей рукописи о знаменитом капитане Крузенштерне, первом из русских мореплавателей совершившем кругосветное путешествие. Еще их объединяет мечта. Мечта о море и кораблях, которая ведет их по жизни. Помните слова клятвы в «Двух капитанах»: «Бороться и искать, найти и не сдаваться»? Это и о них тоже, о героях книги Крапивина, — мальчишках с открытым сердцем и светлым огнем в глазах. Характеристики Место издания: Санкт-Петербург Серия: Мир приключений. Большие книги Высота, см.: 22 Ширина, см: 15 Толщина, см: 3,8 Вес в граммах: 960 Возрастная категория: 12+"
https://www.biblio-globus.ru/product/11062487,https://static1.bgshop.ru/imagehandler.ashx?filename=11062487.jpg&width=550,Штильмарк Р.,Наследник из Калькутты (с иллюстрациями),"Роберт Александрович Штильмарк (1909–1985) — замечательный русский писатель, автор легендарного романа «Наследник из Калькутты». Книга была написана в 1950–1951 годах в сталинском лагере. В письме сыну Штильмарк сообщал, что «придумал нечто приключенческое, безумно сложное и занимательное, ни в какие ворота не лезущее». Роман вышел в 1958 году и мгновенно стал бестселлером. Действие в книге разворачивается в XVIII веке. Наследник графского титула Фредрик Райленд и его невеста Эмили возвращаются из Калькутты к берегам Англии. Пиратский корабль капитана Бернардито берет их судно на абордаж. Дальнейшие события развиваются стремительно, сюжетные линии лихо закручиваются, пересекаясь в самых разных уголках земного шара — Англии, Италии, Испании, на побережье Африки и в Северной Америке. Необыкновенные перипетии сюжета, яркие герои — все это заставляет читать книгу не отрываясь. Настоящее издание включает послесловие Феликса Штильмарка, повествующее о жизни и творчестве писателя, а также о совершенно фантастической истории создания «Наследника из Калькутты», и полный комплект иллюстраций Аркадия Лурье. Роберт Александрович Штильмарк (1909–1985) — замечательный русский писатель, автор легендарного романа «Наследник из Калькутты». Книга была написана в 1950–1951 годах в сталинском лагере. В письме сыну Штильмарк сообщал, что «придумал нечто приключенческое, безумно сложное и занимательное, ни в какие ворота не лезущее». Роман вышел в 1958 году и мгновенно стал бестселлером. Действие в книге разворачивается в XVIII веке. Наследник графского титула Фредрик Райленд и его невеста Эмили возвращаются из Калькутты к берегам Англии. Пиратский корабль капитана Бернардито берет их судно на абордаж. Дальнейшие события развиваются стремительно, сюжетные линии лихо закручиваются, пересекаясь в самых разных уголках земного шара — Англии, Италии, Испании, на побережье Африки и в Северной Америке. Необыкновенные перипетии сюжета, яркие герои — все это заставляет читать книгу не отрываясь. Настоящее издание включает послесловие Феликса Штильмарка, повествующее о жизни и творчестве писателя, а также о совершенно фантастической истории создания «Наследника из Калькутты», и полный комплект иллюстраций Аркадия Лурье. Характеристики Дополнительные сведения: Худож. Лурье Место издания: Санкт-Петербург Серия: Мир приключений. Большие книги Высота, см.: 22 Ширина, см: 15 Толщина, см: 3,7 Вес в граммах: 990 Возрастная категория: 12+"
